,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19
0,214,COLUMBIA R--I-5 BRIDGE TO BONNEVILLEDAM,"2,143","2,633","2,275","2,468","1,860","1,650","1,053","1,435",836,835,88,487
1,215,COLUMBIA R--BONNEVILLE DAM TO THEDALLES DAM,858,845,"1,298","1,166",696,470,610,789,554,258,135,232
2,216,COLUMBIA R--THE DALLES DAM TO JOHNDAY DAM,"1,236","1,218","1,138",921,908,885,403,908,793,737,122,33
3,217,COLUMBIA R--JOHN DAY DAM TO MCNARYDAM,"1,206",588,"1,263",787,763,450,287,341,505,278,74,33
4,218,COLUMBIA R--MCNARY DAM TOSTATELINE,"2,515","1,231","2,585",858,599,"1,578",774,"1,056","1,719","1,175",175,-
5,220,LONG TOM,-,-,-,-,-,-,-,-,-,-,-,-
6,221,ROW R,20,12,11,33,30,27,20,12,6,14,7,11
7,222,WILEY CR (S SANTIAM),8,-,7,4,-,-,-,-,-,-,7,-
8,223,BLUE R (MCKENZIE),-,8,4,4,-,4,-,-,-,-,-,-
9,228,ROGUE R ABOVE GOLD RAY DAM,858,381,"1,117","1,516","1,170","1,908","1,331","2,075","2,253","2,372","1,628","1,365"
10,229,HOOD R,484,560,745,612,305,251,210,142,182,146,88,129
11,230,HOOD R ABOVE POWERDALE DAM,11,14,15,22,-,-,-,-,-,-,-,-
12,231,GRANDE RONDE R FROM STATELINE TOWILDCAT BRIDGE,"1,930","1,547","4,413","1,272","1,274","1,087",808,"1,495","1,802",675,317,133
13,232,GRANDE RONDE R FROM WILDCATBRIDGE TO ISLAND CITY BRIDGE,164,204,"1,906",354,378,433,59,256,282,146,110,11
14,233,GRANDE RONDE R ABOVE ISLAND CITYBRIDGE,33,4,58,30,-,9,-,77,-,-,-,-
15,234,WALLOWA R MOUTH TO MINAM STATEPARK,"3,402","1,842","5,628","2,979","2,218","2,165",471,"2,444","2,124",151,326,-
16,235,WALLOWA R ABOVE MINAM STATE PARK,"2,297","2,369","3,344","2,890","1,750","1,398",990,"3,196","2,471",192,836,-
17,236,UMATILLA R BELOW THREE-MILE DAM,171,106,187,85,227,166,200,114,142,83,20,-
18,237,UMATILLA R ABOVE NOLIN,313,122,165,151,135,125,61,307,87,-,36,-
19,238,JOHN DAY R BELOW COTTONWOODBRIDGE,236,272,784,271,328,185,194,57,77,56,81,44
20,239,JOHN DAY R ABOVE COTTONWOODBRIDGE,24,74,134,26,103,27,20,61,25,-,-,22
21,241,LOOKINGGLASS CR,-,8,8,-,26,9,15,6,20,7,-,-
22,242,POWDER R,-,12,-,11,13,9,-,13,14,-,-,-
23,243,UMATILLA R THREE-MILE DAM TO NOLIN,53,93,128,132,96,119,108,200,207,56,-,-
24,244,SANDY R ABOVE SALMON R,-,-,-,-,7,13,4,11,44,13,-,-
25,245,CLACK R.-CARVER BR. TO BAKERS FERRYRD,-,-,-,28,282,536,284,161,199,560,163,283
26,246,CLACK R-BAKERS FERRY RD TO RVR MILLDAM,-,-,-,-,394,593,"1,043",906,560,"1,514",228,661
27,247,CLACK R-RIVER MILL DAM TO CAZADERODAM,-,-,-,-,188,612,393,460,127,794,201,314
28,250,JOHN DAY R (CLATSOP CTY),-,-,-,-,-,-,-,-,-,-,-,-
